NAME,URL,EMAIL,WEBSITE
淘喜地-素食養生無蛋烘焙,https://www.iyp.com.tw/0222623448,tasty99746488@gmail.com,https://www.tastyfood.com.tw/
百佳(龍泰)創意烘焙坊,https://www.iyp.com.tw/0223924578,zt4578@yahoo.com.tw,http://www.ztcake.com.tw
龍芳餅店,https://www.iyp.com.tw/077034577,hua680311@icloud.com,http://www.longfang.com.tw
新廣吉餅舖,https://www.iyp.com.tw/076295935,a5935@yahoo.com.tw,http://www.shingoangjyi.com.tw
光正堂(麻糬喜餅專賣店),https://www.iyp.com.tw/052910139,11034f@gmail.com,http://www.mochi-cake.com.tw
永吉喜餅蛋糕,https://www.iyp.com.tw/076112626,yungjimail@gmail.com,http://www.yung-ji.com.tw
鎮發餅店,https://www.iyp.com.tw/033861689-2,service@chyp.com.tw,
喜事坊喜餅店,https://www.iyp.com.tw/069271506,hs.hs168@msa.hinet.net,
一美餅行,https://www.iyp.com.tw/0426222888,melly.chen@msa.hinet.net,http://yi-meei.ehosting.com.tw
巴萊坊,https://www.iyp.com.tw/038537753,kelly_lin0103@yahoo.com.tw,
老福仔蒜頭餅,https://www.iyp.com.tw/057813863,ql8887@yahoo.com.tw,http://tw.myblog.yahoo.com/jw!.UYkmdSeGUYqzPDB84wC4A--/
二隻寶貝手製糕餅鋪,https://www.iyp.com.tw/052759900,zz259615@cht.com.tw,http://www.twobabies.tw
朝和餅舖有限公司,https://www.iyp.com.tw/047772372,LKNO1@tsao-her.com.tw,http://www.tsao-her.com.tw
