NAME,URL,EMAIL,WEBSITE
新麗香飲料材料商號,https://www.iyp.com.tw/063361134,dennis.a888@msa.hinet.net,http://www.sinleshan.com.tw
軒曜有限公司,https://www.iyp.com.tw/033205222,hy16972141@hotmail.com.tw,http://www.hsuanyao.com.tw
嘉南羊乳運銷合作社,https://www.iyp.com.tw/055373503,cng@ms10.hinet.net,
ㄉㄨㄞˇㄉㄨㄞˇ鮮奶酪,https://www.iyp.com.tw/038361139,u98889@yahoo.com.tw,http://u98889.myweb.hinet.net
連吉行實業股份有限公司,https://www.iyp.com.tw/073736572,lan.zee66@gmail.com,https://www.iyp.com.tw/073739366
永明商行,https://www.iyp.com.tw/087383578,zz175834@cht.com.tw,
拓林美企業有限公司 | 可口可樂經銷商 | 杜老爺,https://www.iyp.com.tw/0422659250,apple19630303@yahoo.com.tw,https://www.0422600780.com.tw/index
台灣鮮配家食品有限公司,https://www.iyp.com.tw/033016777,fresh.tyhg@msa.hinet.net,http://www.12711700.com.tw
增祥貿易股份有限公司,https://www.iyp.com.tw/0227127652,service@tsehsiang.com.tw,
萬記貿易有限公司,https://www.iyp.com.tw/0228743363,john@wanchee.com.tw,http://www.wanchee.com.tw
首都國際商業有限公司,https://www.iyp.com.tw/0223011334,y3262@seed.net.tw,http://topgoat.web66.com.tw
宏銓企業社,https://www.iyp.com.tw/0426360886,genie6232@yahoo.com.tw,
嘉南羊乳－新北市經銷商,https://www.iyp.com.tw/0229550777,service@kananinv.com.tw,https://www.kngoatmilk.com/
