NAME,URL,EMAIL,WEBSITE
台茶國際實業有限公司,https://www.iyp.com.tw/077996529,chenyi.ting@msa.hinet.net,http://www.tair-char.com
丞泰茶行(煜鴻燈飾興業有限公司),https://www.iyp.com.tw/087381536,mao-yi@yahoo.com.tw,http://www.toptea.com.tw
新麗香飲料材料商號,https://www.iyp.com.tw/063361134,dennis.a888@msa.hinet.net,http://www.sinleshan.com.tw
尚品茶行,https://www.iyp.com.tw/073455611-1,firstclasstea@gmail.com,http://www.highmountea.com
朝宗茗茶 朝宗茶行,https://www.iyp.com.tw/0229762008,wintea.h630605@yahoo.com.tw,http://www.wintea.com.tw
仙山茶莊 苗栗高山茶/比賽茶/東方美人茶,https://www.iyp.com.tw/037931200,a931200@gmail.com,http://www.facebook.com/931200.com.tw
上富製茶廠,https://www.iyp.com.tw/052390779,s10598@chyp.com.tw,http://www.yu-pin.com.tw
樺總企業有限公司,https://www.iyp.com.tw/078152928,huada1981@gmail.com,http://www.huadatea.com.tw
展傳機械廠,https://www.iyp.com.tw/037663551,chan.ch168@msa.hinet.net,http://www.chanchuan.com
"華順工貿有限公司手搖飲料製造商,濃縮果汁,珍珠黑糖",https://www.iyp.com.tw/0424854118,sales.finethingstw@gmail.com,http://www.finethingstw.com
世界最美的茶館-乙盛茗茶,https://www.iyp.com.tw/088685868,ertokm@gmail.com,http://www.acetea.com.tw
一海香食品原料行有限公司,https://www.iyp.com.tw/0423166611-1,yihasi@gmail.com,http://www.yihasi.com.tw
福豪生技興業藥局,https://www.iyp.com.tw/052233812,fuhao361@gmail.com,http://www.fuhao-biotech.com
"PP,鐡罐,易開罐,寶特瓶飲料代工生產,舜大食品企",https://www.iyp.com.tw/048747912,shuennta@yahoo.com.tw,http://www.shuennta.com
信益企業有限公司,https://www.iyp.com.tw/0229390269,shinyiconpany@gmail.com,
