NAME,URL,EMAIL,WEBSITE
全麥蛋糕店,https://www.iyp.com.tw/033679788,may3679788@yahoo.com.tw,
淘喜地-素食養生無蛋烘焙,https://www.iyp.com.tw/0222623448,tasty99746488@gmail.com,https://www.tastyfood.com.tw/
百佳(龍泰)創意烘焙坊,https://www.iyp.com.tw/0223924578,zt4578@yahoo.com.tw,http://www.ztcake.com.tw
香格禮坊-台中名產、台中伴手禮,https://www.iyp.com.tw/0422056608,sjliu@chyp.com.tw,https://shianger.com.tw/
直興興業股份有限公司,https://www.iyp.com.tw/0426113477,chihsi@ms24.hinet.net,http://www.chihsi.com.tw
鄭玉珍餅舖 鹿港餅店 百年老店,https://www.iyp.com.tw/047753532,jyj22491396@yahoo.com.tw,http://www.jyj.com.tw
龍芳餅店,https://www.iyp.com.tw/077034577,hua680311@icloud.com,http://www.longfang.com.tw
老成珍肉包,https://www.iyp.com.tw/047747586-1,hcchen@chyp.com.tw,http://www.047747586.com
新廣吉餅舖,https://www.iyp.com.tw/076295935,a5935@yahoo.com.tw,http://www.shingoangjyi.com.tw
潁昌食品有限公司(新和美),https://www.iyp.com.tw/0202-6,kang@yyccfood.com.tw,http://www.yyccfood.com.tw
方愫馨草屯手工麻糬(老店),https://www.iyp.com.tw/0492391703,fangsuxi8888@gmail.com,http://www.方愫馨草屯麻糬.tw
聯金食品有限公司,https://www.iyp.com.tw/0937709627,lgp55168@gmail.com,http://www.lian-jin.com.tw
芳生食品用具行,https://www.iyp.com.tw/0229883477,fun.seng@msa.hinet.net,http://www.funseng.com.tw
大象手作包子饅頭,https://www.iyp.com.tw/0229897416,elephantqmantou@gmail.com,http://www.elephantmantou.com
光正堂(麻糬喜餅專賣店),https://www.iyp.com.tw/052910139,11034f@gmail.com,http://www.mochi-cake.com.tw
大麥專業烘焙坊,https://www.iyp.com.tw/033839484,mickey770805@hotmail.com,https://www.facebook.com/damaibread/?ref=page_internal
永吉喜餅蛋糕,https://www.iyp.com.tw/076112626,yungjimail@gmail.com,http://www.yung-ji.com.tw
乃香食品有限公司,https://www.iyp.com.tw/052340349,yyfun.mail@gmail.com,http://www.isfun.com.tw
陳記麻糬,https://www.iyp.com.tw/089353286,b30778@gmail.com,http://www.machi.net.tw
