NAME,URL,EMAIL,WEBSITE
櫻日本料理,https://www.iyp.com.tw/055330966,joycechen0211@hotmail.com,http://www.sakuraryuri.com.tw
三船の鰻丼,https://www.iyp.com.tw/062085703,gas2288@yahoo.com.tw,http://www.xn--ehq358j.tw
大將日本料理店股份有限公司,https://www.iyp.com.tw/087327537,liliimoon@yahoo.com.tw,http://www.dah-jiang.com.tw/
勝博殿日式豬排專賣(勝博殿中信店),https://www.iyp.com.tw/0266172977,sabotenservice@mail.gwg-fsd.com.tw,http://www.saboten.com.tw/
小林食堂日式豬排,https://www.iyp.com.tw/077229058,hui_ling_1978@yahoo.com.tw,
鳳壽司,https://www.iyp.com.tw/062088226,snj.lee@msa.hinet.net,
鳳壽司,https://www.iyp.com.tw/063353516,snj.lee@msa.hinet.net,
江屋日本料理東區店,https://www.iyp.com.tw/0422131155-1,ho46123@gmail.com,http://www.jiangwu.com.tw
江戶餐廳,https://www.iyp.com.tw/0423212883,mlsu0678@cht.com.tw,
斑鳩的窩日式炸豬排連鎖餐飲 ,https://www.iyp.com.tw/0226522259,banjiouwoo@gmail.com,http://www.banjiouwoo.com/
俏,https://www.iyp.com.tw/0227425233,chaoizakaya@gmail.com,http://www.foodpanda.com.tw
炭火燒肉本舖,https://www.iyp.com.tw/072168345,ou.kuch@msa.hinet.net,
班鳩的窩,https://www.iyp.com.tw/073631525,banjiouwoo@gmail.com,http://banjiouwoo.com
八彩料亭,https://www.iyp.com.tw/0227791007,x0113@yahoo.com.tw,
和喬屋日本麵,https://www.iyp.com.tw/0225179987,ynott2005@yahoo.com.tw,http://hipage.hinet.net/wakyouya
崧竹餐廳有限公司,https://www.iyp.com.tw/0228881579,masutake@sinamail.com,http://www.starlife.com.tw/special/moreinfo.asp?id=8
爭鮮股份有限公司,https://www.iyp.com.tw/0800012000,service@sushi-express.com.tw,http://www.sushi-express.com.tw
玉須龍炭火燒肉,https://www.iyp.com.tw/0228716900,chaoyun1969@yahoo.com.tw,http://yuhsulong.web66.com.tw/
美觀園,https://www.iyp.com.tw/0223317000-3,lijen_c@hotmail.com,http://www.meiguanyuan.com.tw
東京壽司,https://www.iyp.com.tw/0229633618,tokyo.sushi@msa.hinet.net,
大玉門,https://www.iyp.com.tw/0229008867,sale0625@yahoo.com.tw,
たく味,https://www.iyp.com.tw/0225233173,cat071415@hotmail.com,
太元日本料理,https://www.iyp.com.tw/0227219026-2,gabbana0618@hotmail.com,
春日日本料理,https://www.iyp.com.tw/0227081805-2,springfoodnet@gmail.com,http://www.springfood.net
笑笑屋日式居酒屋,https://www.iyp.com.tw/0918105388,haha_house@yahoo.com,
街角串烤 The Corner,https://www.iyp.com.tw/0227113899,info@corner34.com,
豪宝日式料理,https://www.iyp.com.tw/0233223135,swtsai68@yahoo.com.tw,
鼓前堂燒肉居酒亭,https://www.iyp.com.tw/0225119700,ling2737@hotmail.com,
花田壽司專賣,https://www.iyp.com.tw/0422115668,sushi888@sushi888.com,
隱藏居酒屋,https://www.iyp.com.tw/0423019811,ranckymac@msn.com,
櫻花日本料理,https://www.iyp.com.tw/055330966-2,sacura.karen@msa.hinet.net,http://www.sakuraryuri.com.tw/
青木屋,https://www.iyp.com.tw/075566733,aokiya2009@gmail.com,
咖哩工坊,https://www.iyp.com.tw/0227195866,koubou1101@gmail.com,http://www.咖哩工坊.tw
信長 Nobunaga,https://www.iyp.com.tw/0222678080,za@nobunaga.com.tw,http://www.nobunaga.com.tw/
豐原不二拉麵聯盟,https://www.iyp.com.tw/0425334455,aa25334455@gmail.com,http://https://zh-tw.facebook.com/notwo.ramen/
