NAME,URL,EMAIL,WEBSITE
淘喜地-素食養生無蛋烘焙,https://www.iyp.com.tw/0222623448,tasty99746488@gmail.com,https://www.tastyfood.com.tw/
百佳(龍泰)創意烘焙坊,https://www.iyp.com.tw/0223924578,zt4578@yahoo.com.tw,http://www.ztcake.com.tw
香格禮坊-台中名產、台中伴手禮,https://www.iyp.com.tw/0422056608,sjliu@chyp.com.tw,https://shianger.com.tw/
鄭玉珍餅舖 鹿港餅店 百年老店,https://www.iyp.com.tw/047753532,jyj22491396@yahoo.com.tw,http://www.jyj.com.tw
宇軒食品有限公司,https://www.iyp.com.tw/0226731650,js.j02@msa.hinet.net,http://www.yuxuan-food.com
"萬果有限公司 C.H.SWEET CO., LTD",https://www.iyp.com.tw/0229388859,candyhos@ms68.hinet.net,http://www.sweetsselection.com.tw
老成珍肉包,https://www.iyp.com.tw/047747586-1,hcchen@chyp.com.tw,http://www.047747586.com
新丸天休閒食品,https://www.iyp.com.tw/073382371,jdcolor2003@gmail.com,http://www.good-seeds.com
潁昌食品有限公司(新和美),https://www.iyp.com.tw/0202-6,kang@yyccfood.com.tw,http://www.yyccfood.com.tw
冰品原料/傳統糕點/年節食品-東和食品廠,https://www.iyp.com.tw/0422786059,deen1230@gmail.com,https://wholesaler-810.business.site/
方愫馨草屯手工麻糬(老店),https://www.iyp.com.tw/0492391703,fangsuxi8888@gmail.com,http://www.方愫馨草屯麻糬.tw
名記食品企業有限公司,https://www.iyp.com.tw/082322930,s39831024@gmail.com,http://minjih.com
光正堂(麻糬喜餅專賣店),https://www.iyp.com.tw/052910139,11034f@gmail.com,http://www.mochi-cake.com.tw
萬丹市場紅豆餅(陳),https://www.iyp.com.tw/087771685,ok7761510@yahoo.com.tw,http://www.redbeancake.com.tw
乃香食品有限公司,https://www.iyp.com.tw/052340349,yyfun.mail@gmail.com,http://www.isfun.com.tw
軒曜有限公司,https://www.iyp.com.tw/033205222,hy16972141@hotmail.com.tw,http://www.hsuanyao.com.tw
龍虎商行,https://www.iyp.com.tw/073506426,Lofu168@gmail.com,http://www.lofu.com.tw
泰祥西點麵包食品行,https://www.iyp.com.tw/089811709,ling513168580@gmail.com,https://www.facebook.com/關山鎮上泰祥封仔餅-847845698596674
嘉珍生技股份有限公司,https://www.iyp.com.tw/055576456,cj@cj-biotech.com,http://www.cj-biotech.com
佑昌食品有限公司,https://www.iyp.com.tw/087513330,t12120610@yahoo.com.tw,
十倍速食品科技行,https://www.iyp.com.tw/0229066113-1,chinchen@ms1.hinet.net,http://www.10best.com.tw
雄風企業有限公司,https://www.iyp.com.tw/062632622,showfuns@gmail.com,http://www.showfuns.com.tw
國義企業有限公司,https://www.iyp.com.tw/0222693124,victoryfamily888@yahoo.com.tw,
甜在心食品有限公司,https://www.iyp.com.tw/065700088-2,judywu58129@yahoo.com.tw,
正佳珍食品股份有限公司,https://www.iyp.com.tw/0426399681,candys88@ms26.hinet.net,
洪元記食品廠股份有限公司,https://www.iyp.com.tw/0426562841,vensons@seed.net.tw,http://www.migita.com.tw
玉美珍食品行,https://www.iyp.com.tw/052621079,ymcplum@gmail.com,http://www.ymcplum.com.tw
洽米休閒食品舖,https://www.iyp.com.tw/0222112811,charming2211@gmail.com,http://www.charming2211.com
亞洲糖犰,https://www.iyp.com.tw/048732708,asch@asch.com.tw,http://www.asch.com.tw
緣親旺梨小鎮土鳳梨酥,https://www.iyp.com.tw/047699696,ms.pineapple@pineappletown.com.tw,http://www.pineappletown.com.tw/index.php
萬果有限公司,https://www.iyp.com.tw/0229388859-1,candyhos@ms68.hinet.net,http://www.sweetsselection.com.tw
全醣糖業有限公司,https://www.iyp.com.tw/066803502,allsugar923@yahoo.com.tw,
萬果有限公司,https://www.iyp.com.tw/0229388859-2,candyhos@ms68.hinet.net,
蘇老爺手工精製花生麥芽糖,https://www.iyp.com.tw/073758228-1,money_su@yahoo.com.tw,
泰鴻食品股份有限公司,https://www.iyp.com.tw/0227648893,pikapikadessert@gmail.com,http://www.pikapikadessert.com
有豐國際貿易有限公司,https://www.iyp.com.tw/062435578,yeoufong99@gmail.com,http://www.yeoufong.com.tw
甜心巫婆工房,https://www.iyp.com.tw/049231266,alice2315521@yahoo.com.tw,http://www.sw0920.com/
漾果子食品坊,https://www.iyp.com.tw/0226515738,leoliu091957@gmail.com,http://www.young-shop.com.tw/
葳士派,https://www.iyp.com.tw/0425225817,a0920277813@gmail.com,http://www.wishpie.com.tw
麻姥姥手工餅舖,https://www.iyp.com.tw/0426836847,malaolao100@gmail.com,http://0933414679.boncity.com./
辰昂巧克力,https://www.iyp.com.tw/0223961200,ww76203@me.com,http://www.ipeen.com.tw/shop/968406/koko
柑之林 牛軋糖專賣店【Orange Forest ,https://www.iyp.com.tw/052642128,s1022@ms38.hinet.net,http://柑之林 牛軋糖專賣店【Orange Forest Nougat Store 】
松貝企業社,https://www.iyp.com.tw/075811223-1,joeicookie@yahoo.com.tw,http://www.sung-bei.com.tw
朝和餅舖有限公司,https://www.iyp.com.tw/047772372,LKNO1@tsao-her.com.tw,http://www.tsao-her.com.tw
