NAME,URL,EMAIL,WEBSITE
桃園市小吃業職業工會,https://www.iyp.com.tw/034254252,jim777666@yahoo.com.tw,https://www.facebook.com/桃園市小吃米食職業工會-1713162378770410/
庚榮有限公司,https://www.iyp.com.tw/077511381-2,fue.food@gmail.com,http://www.gengrong.com.tw
阿德師快煮麵,https://www.iyp.com.tw/077660768,ksf931335@yahoo.com.tw,http://www.yder.com.tw
紅仕食品有限公司-筒仔米糕/雪花冰 批發,https://www.iyp.com.tw/0226188799,order@oldflavors.url.tw,https://www.oldflavors.url.tw/
王媽媽香豬捲,https://www.iyp.com.tw/078068825,wang8068825@yahoo.com.tw,
蓮珍坊,https://www.iyp.com.tw/0222032958,lian.jenfu@gmail.com,
馥綠食品有限公司,https://www.iyp.com.tw/034116959,service@fulu.url.tw,
悅饌彌月油飯,https://www.iyp.com.tw/0424181238,vgov2@yahoo.com.tw,
宏嘉食品行,https://www.iyp.com.tw/048366233,z3821@kimo.com,
天之椒子國際開發有限公司,https://www.iyp.com.tw/063388044,tjgz5961@gmail.com,
禾苗健康屋,https://www.iyp.com.tw/065814100,service@easteat.tw,
太平洋食品廠,https://www.iyp.com.tw/077014262,anita331.tw@yahoo.com.tw,http://www.tpyff.com.tw
