NAME,URL,EMAIL,WEBSITE
常春藤素食餐廳/花蓮素食餐廳 吃到飽餐廳,https://www.iyp.com.tw/038569069,ivyhope.co@msa.hinet.net,https://www.facebook.com/ivyhost22
西海岸活蝦之家.員林泰國蝦,https://www.iyp.com.tw/048398789,yirong628@yahoo.com.tw,http://www.facebook.com/台南西海岸活蝦之家-員林店-至善街-986802904691400
頭前園餐廳,https://www.iyp.com.tw/076366688,tw6366688@yahoo.com.tw,http://www.tcyr.com.tw
車城海忠天餐廳/墾丁海中天餐廳,https://www.iyp.com.tw/088822880,kuanchiehwang1022@gmail.com,https://www.facebook.com/墾丁海中天餐廳-1407402459517576
向耕休閒魚場,https://www.iyp.com.tw/038731265,chunsam.fs168@msa.hinet.net,http://myweb.hinet.net/home12/sam5168/
大漢山土雞城,https://www.iyp.com.tw/088792333,dhs@58168.net,http://hipage.hinet.net/dhs
九寮坡農莊,https://www.iyp.com.tw/0226631886,chuanmu1959@yahoo.com.tw,http://www.jlb.58168.net
芳草古樹風味館,https://www.iyp.com.tw/038760437,fangshuh7@gmail.com,http://www.fangshuh.com.tw/
四海飯店(四海飲食店),https://www.iyp.com.tw/065751440,kuohsien0626@gmail.com,https://www.facebook.com/pages/四海飯店/276606439112332?fref=ts
聽濤園山莊,https://www.iyp.com.tw/0492755677,tingtau@tingtau.com.tw,http://www.tingtau.com.tw/
常春藤商店,https://www.iyp.com.tw/038569069-1,ivyhope.co@msa.hinet.net,https://www.iyp.com.tw/038569069
老店家風味小吃,https://www.iyp.com.tw/033821988,money5085@gmail.com,http://www.xn--fctv0eg38b.tw/
米巴奈山地美食坊,https://www.iyp.com.tw/089220407,taitung@mibanai.com.tw,http://www.iyp.com.tw/089220407
四重溪新興山藥餐廳,https://www.iyp.com.tw/088823501,shang.a0401@msa.hinet.net,http://www.awem.com.tw/088823501.htm
野鴨谷,https://www.iyp.com.tw/0492775416,p572003@yahoo.com.tw,
愛嬌姨風味茶餐,https://www.iyp.com.tw/089550678,b0635@ms23.hinet.net,https://www.facebook.com/ije291
