NAME,URL,EMAIL,WEBSITE
萬華佳味香肉脯店-肉鬆|肉脯|肉乾,https://www.iyp.com.tw/0223115568,maxben_cc@yahoo.com.tw,https://butcher-shop-1526.business.site/?m=true
庚荣有限公司,https://www.iyp.com.tw/077618585,fue.food@gmail.com,http://www.fue-food.com
"彰化肉乾,海苔肉鬆,百珍香肉脯店",https://www.iyp.com.tw/047241176,bid525@gmail.com,http://www.xn--mdy70dm93c.tw
味一食品有限公司 WEI-I FOODSTUFF ,https://www.iyp.com.tw/075510770,weii@hibox.hinet.net,http://www.wei-i.com.tw
臺灣豐和火雞有限公司,https://www.iyp.com.tw/067957579,turkey.wang@msa.hinet.net,http://www.turkeywang.com.tw
肉鬆王,https://www.iyp.com.tw/038359056,service@hualienpork.com,
可佳益肉鬆店,https://www.iyp.com.tw/037754356,kejiayi73@gmail.com,http://www.ke-jia-yi.com.tw
糖莊滷味,https://www.iyp.com.tw/0425673104,tangvillage1994@gmail.com,http://https://tangvillage.wordpress.com/
復興肉酥,https://www.iyp.com.tw/087223049,fug77885@ms72.hinet.net,http://www.fuhsing1957.com.tw
東興肉脯舖,https://www.iyp.com.tw/088322861,zz175834@cht.com.tw,
群眾商行,https://www.iyp.com.tw/0423860080,serriceI@wani.com.tw,http://www.wani.com.tw
台宗美而香有限公司,https://www.iyp.com.tw/0423725854-1,taichungham@gmail.com,https://www.0423725854.com.tw
台馨肉脯店,https://www.iyp.com.tw/0426623118,vivi8663@yahoo.com.tw,http://www.taismell.com.tw
金安記食品廠有限公司,https://www.iyp.com.tw/0426354318-1,service@jinanji.com.tw,
佳味香肉脯店萬華分店,https://www.iyp.com.tw/0223115568-1,maxben_cc@yahoo.com.tw,https://www.iyp.com.tw/0223115568/
家香屋冰鎮滷味批發、零售,https://www.iyp.com.tw/0227893602,service@aromafood.com.tw,http://www.aromafood.com.tw
東知香滷味專賣店,https://www.iyp.com.tw/038328166,su0507@yahoo.com.tw,http://www.8328166.com.tw
乾大郎食品行,https://www.iyp.com.tw/0222801894,a8715@ms33.hinet.net,
今日肉鬆食品行,https://www.iyp.com.tw/029720188,gotoday99@yahoo.com,
宜家香肉脯店,https://www.iyp.com.tw/0229210679,a37317612@yahoo.com.tw,
大滷桶八德店,https://www.iyp.com.tw/033709826,pocacherry@hotmail.com,
黑旗手信專門店,https://www.iyp.com.tw/033332640,johnny.su2002@gmail.com,
福委商行,https://www.iyp.com.tw/0425600685,service@fuway.com.tw,http://www.fuway.com.tw
紫竹林雞腳凍,https://www.iyp.com.tw/047289007,eat3366@gmail.com,
三寶食堂,https://www.iyp.com.tw/057907985,sambochicken@gmail.com,
瑞香珍號,https://www.iyp.com.tw/076901188,ase12912@gmail.com,
