NAME,URL,EMAIL,WEBSITE
屏東在地人檸檬園,https://www.iyp.com.tw/087333322,lemon7655558@gmail.com,http://www.lemons.com.tw
新麗香飲料材料商號,https://www.iyp.com.tw/063361134,dennis.a888@msa.hinet.net,http://www.sinleshan.com.tw
宏泰餐飲設備有限公司,https://www.iyp.com.tw/0222421396,Wanjiafu1313@gmail.com,http://www.ht141.com
"彰化飲料經銷商,獲利企業有限公司",https://www.iyp.com.tw/047237124,cmc611102@yahoo.com.tw,http://www.profit.tw
邑暄香茗,https://www.iyp.com.tw/047350188,hung.shan@msa.hinet.net,http://www.yssm.com.tw
"華順工貿有限公司手搖飲料製造商,濃縮果汁,珍珠黑糖",https://www.iyp.com.tw/0424854118,sales.finethingstw@gmail.com,http://www.finethingstw.com
山上之水,https://www.iyp.com.tw/038266699,mtwater.tw@gmail.com,http://www.mtwater.tw
聖鴻聯合有限公司,https://www.iyp.com.tw/087887450,sofa0813@hotmail.com,http://www.1715.com.tw
"PP,鐡罐,易開罐,寶特瓶飲料代工生產,舜大食品企",https://www.iyp.com.tw/048747912,shuennta@yahoo.com.tw,http://www.shuennta.com
名屋食品廠產業股份有限公司,https://www.iyp.com.tw/056973112,famous99@ms39.hinet.net,http://www.famous-house.com.tw
果軒貿易有限公司,https://www.iyp.com.tw/0227235333,andytan.tw@msa.hinet.net,
喬登果汁,https://www.iyp.com.tw/048376311,jordan_juice@yahoo.com.tw,
名屋食品廠產業股份有限公司,https://www.iyp.com.tw/056973112,famous99@ms39.hinet.net,http://www.famous-house.com.tw
Herma荷瑪.冰鑽繽果飲,https://www.iyp.com.tw/0425153289,projuice6757@gmail.com,http://www.herma888.com
鮮鮮說,https://www.iyp.com.tw/033265528,service@freshmarq.com,http://www.FreshMarQ.com
