NAME,URL,EMAIL,WEBSITE
台茶國際實業有限公司,https://www.iyp.com.tw/077996529,chenyi.ting@msa.hinet.net,http://www.tair-char.com
一茶鮮撈飲,https://www.iyp.com.tw/077411678-2,chieni.tea@msa.hinet.net,http://www.onetea.com.tw
宏鼎商行,https://www.iyp.com.tw/077667700,fada-ice@hotmail.com,http://www.fada-ice.com.tw
好茶泡沫紅茶,https://www.iyp.com.tw/0229675715,http://www.nicetea.com.tw/,
和雲軒茶坊,https://www.iyp.com.tw/0229383078-2,Mama_12.tw@yahoo.com.tw,
空間茶舖,https://www.iyp.com.tw/038580239,usa1225@gmail.com,
黑咖啡茶飲便利屋,https://www.iyp.com.tw/0222832252,zhenhong168@pchome.com.tw,
喫茶小舖北平店,https://www.iyp.com.tw/0422917546,teashopa2@teashop168.com.tw,
紅太陽茶飲  沙鹿店,https://www.iyp.com.tw/0426326668,12345670508@yahoo.com.tw,
胡同飲集劇場,https://www.iyp.com.tw/0423198378,whotogether.tw@gmail.com,
六邑現泡茶町,https://www.iyp.com.tw/047125128,sixe337@hotmail.com,
義豐阿川冬瓜茶,https://www.iyp.com.tw/062223778-2,2226565@hotmail.com,
大橋米里古早味紅茶,https://www.iyp.com.tw/063037257,li886196@yahoo.com.tw,
牛車小舖(瑞豐夜市),https://www.iyp.com.tw/0913813938,a2885288@yahoo.com.tw,
一茶企業社,https://www.iyp.com.tw/077216132,chieni.tea@msa.hinet.net,
