NAME,URL,EMAIL,WEBSITE
科麥股份有限公司,https://www.iyp.com.tw/0226954158,design@bakerskingdom.com,http://bakerskingdom.com
鮮大王企業股份有限公司-調味料|罐頭食品,https://www.iyp.com.tw/034688999,plussun@ms15.hinet.net,http://www.freshking.com.tw
海瑞摃丸 Hai Rei Foods,https://www.iyp.com.tw/035261115,hrservice@yahoo.com.tw,http://www.haireishop.com.tw/
香格禮坊-台中名產、台中伴手禮,https://www.iyp.com.tw/0422056608,sjliu@chyp.com.tw,https://shianger.com.tw/
全國餐飲設備,https://www.iyp.com.tw/0223077365,auk355@yahoo.com.tw,http://www.0913221060.com.tw
久代食品加工廠,https://www.iyp.com.tw/055850201,dj791219@gmail.com,
瑞營冷凍食品有限公司,https://www.iyp.com.tw/0229959587,Boss322.chen@msa.hinet.net,http://www.xn--iyx36c.tw
明耀化工興業股份有限公司,https://www.iyp.com.tw/035243175,Jackchen715@hotmail.com,http://www.mychemical-tw.com
"彰化肉乾,海苔肉鬆,百珍香肉脯店",https://www.iyp.com.tw/047241176,bid525@gmail.com,http://www.xn--mdy70dm93c.tw
潁昌食品有限公司(新和美),https://www.iyp.com.tw/0202-6,kang@yyccfood.com.tw,http://www.yyccfood.com.tw
冰品原料/傳統糕點/年節食品-東和食品廠,https://www.iyp.com.tw/0422786059,deen1230@gmail.com,https://wholesaler-810.business.site/
客製專屬妳的麵-光田麵店,https://www.iyp.com.tw/0225018276-1,udelight.feedback@gmail.com,http://www.udelight.com.tw
"福興食品原料廠-台中食品原料,綠豆餡紅豆餡,台中糕",https://www.iyp.com.tw/0422020576,isabella628@kimo.com,http://www.fwu-shing.com
生物科技有限公司,https://www.iyp.com.tw/035397321,Siang.jhan@hinet.net,http://www.siangjhan.com
味一食品有限公司 WEI-I FOODSTUFF ,https://www.iyp.com.tw/075510770,weii@hibox.hinet.net,http://www.wei-i.com.tw
阿綿麻糬,https://www.iyp.com.tw/075319177,amian1108@gmail.com,http://www.a-main.com.tw
竹琦食品,https://www.iyp.com.tw/035532500,hsinchu03@yahoo.com.tw,http://www.hsinchu03.com.tw
"華順工貿有限公司手搖飲料製造商,濃縮果汁,珍珠黑糖",https://www.iyp.com.tw/0424854118,sales.finethingstw@gmail.com,http://www.finethingstw.com
美津食品行,https://www.iyp.com.tw/087761573,a7761573@gmail.com,http://www.tsuichi.com.tw
紅仕食品有限公司-筒仔米糕/雪花冰 批發,https://www.iyp.com.tw/0226188799,order@oldflavors.url.tw,https://www.oldflavors.url.tw/
崋檳生物科技有限公司,https://www.iyp.com.tw/077015938,hua_bin18@kimo.com,http://www.hua-bin.com.tw
政新蜂蜜實業有限公司,https://www.iyp.com.tw/076418867,a6418867@yahoo.com.tw,http://www.6418867.com.tw
軒曜有限公司,https://www.iyp.com.tw/033205222,hy16972141@hotmail.com.tw,http://www.hsuanyao.com.tw
上丸魚丸店,https://www.iyp.com.tw/076195177,yusuke49103552@hotmail.com食品業者登錄字號:E-200104701-00000-6,http://www.shangwan.com.tw
亞世佳食品股份有限公司 ,https://www.iyp.com.tw/055575000, ,http://
老船長食品工業股份有限公司,https://www.iyp.com.tw/039965533,j964345@ms52.hinet.net,
太平洋食品廠,https://www.iyp.com.tw/077014262,anita331.tw@yahoo.com.tw,http://www.tpyff.com.tw
宏圓企業有限公司,https://www.iyp.com.tw/076162789,hyhy6163789@yahoo.com,https://www.twhungyuan.com
德記柿餅加工站,https://www.iyp.com.tw/035868529,chemaw.chemaw@msa.hinet.net,
益弘食品有限公司,https://www.iyp.com.tw/0222402292,yi.hong.llc@gmail.com,
福祿壽國際酒品股份有限公司,https://www.iyp.com.tw/055823106,fulushou@ms48.hinet.net,http://www.fortunebrewery.com.tw/
程錡,https://www.iyp.com.tw/0800828255,ms.bee@msa.hinet.net,http://www.msbee.com
美達食品工業股份有限公司土庫工廠,https://www.iyp.com.tw/056622636,ab5657@ms45.hinet.net,
聖多聞有限公司,https://www.iyp.com.tw/055828296,coffee-bean@mail.ehosting.com.tw,http://coffee-bean.ehosting.com.tw
林美芳,https://www.iyp.com.tw/077022191,fun4117@yahoo.com.tw,http://hipage.hinet.net/mifa
中匯食品行,https://www.iyp.com.tw/0425316146,hanfong.pan@gmail.com,
淵仁素齋-淵仁素齋加工廠,https://www.iyp.com.tw/073513152-2,a0933312385@yahoo.com.tw,https://food-products-supplier-2964.business.site/
太武企業股份有限公司,https://www.iyp.com.tw/082328085,km.k328811@msa.hinet.net,
林淵宗,https://www.iyp.com.tw/052784061,chiayi@mail2000.com.tw,http://www.eastdoor.com.tw
禎祥食品工業股份有限公司,https://www.iyp.com.tw/053692211,trade@mail.chenfood.com.tw,http://chenhsiang.com
加味食品行,https://www.iyp.com.tw/087750068,a0960563688@yahoo.com.tw,http://www.gavifood.com.tw
圓魚食補─鱉的料理店,https://www.iyp.com.tw/087711586,leejechi@ms26.hinet.net,
屏榮實業股份有限公司,https://www.iyp.com.tw/087228866,prc@pingroun.com.tw,http://www.arno-food.com.tw
東港漁鄉有限公司,https://www.iyp.com.tw/088338747,tungan570@yahoo.com.tw,http://www.tungan.com.tw
歐嗨喲有限公司,https://www.iyp.com.tw/087221111,zz175834@cht.com.tw,
裕芳食品行,https://www.iyp.com.tw/037866088,service@yufang.com.tw,http://www.苑裡名產.tw
福泉米奶粉店,https://www.iyp.com.tw/087752332,fu.chuen@msa.hinet.net,
蔗雞王,https://www.iyp.com.tw/0229979867-1,chickenking.shop@gmail.com,http://www.xwf.com.tw
天然食品企業社,https://www.iyp.com.tw/062974297,fu_pei@ymail.com,http://www.fu-pei.com.tw
丸文食品（商號）,https://www.iyp.com.tw/0422252516-2,wan@wan-wen.com.tw,http://www.wan-wen.com.tw
張秀英,https://www.iyp.com.tw/063360997,eva52011@ms66.hinet.net,
衡一生技有限公司,https://www.iyp.com.tw/062030567,shuo@t-bio.com.tw,http://top-one-biotech.com/
金昌糕粉工廠,https://www.iyp.com.tw/062688141,geniusx@gmail.com,
天鵝脖子街有限公司,https://www.iyp.com.tw/0427085080,swanneckstreet@gmail.com,http://www.swanneckstreet.com.tw
任記東北酸菜坊,https://www.iyp.com.tw/066900331,r481030.b481119@msa.hinet.net,http://www.renji.com.tw
洽發企業股份有限公司,https://www.iyp.com.tw/0426625050,service@chiafha.com.tw,https://www.iyp.com.tw/0426224161
大丸碗粿,https://www.iyp.com.tw/065905937,Rouge.charles@msa.hinet.net,
惠眾食品工業股份有限公司,https://www.iyp.com.tw/039905101,sh.kds@msa.hinet.net,
富林食品工廠,https://www.iyp.com.tw/065932346,fulin_fulin@yahoo.com.tw,
巨昌食品企業有限公司,https://www.iyp.com.tw/0226032186,hua.zen@msa.hinet.net,http://www.juchang.com.tw
常新食品企業有限公司,https://www.iyp.com.tw/0222231004,csecj@ms38.hinet.net,
愛加食品有限公司,https://www.iyp.com.tw/0222679015,aijia98@yahoo.com.tw,
新和興海洋企業股份有限公司,https://www.iyp.com.tw/0222982886,ocean@shs.com.tw,
黑糖如有限公司,https://www.iyp.com.tw/0224558400,heitangru99@gmail.com.tw,http://www.sugar99.com.tw/
@宏興食品企業有限公司 ,https://www.iyp.com.tw/062014258,both.harvest@msa.hinet.net,http://www.shs-food.com.tw
蔡記食品有限公司,https://www.iyp.com.tw/0422651209,p0810@ms21.hinet.net,http://www.oilrice.idv.tw/
大進海產加工廠,https://www.iyp.com.tw/069922811,only90183@yahoo.com.tw,
樂口福食品股份有限公司（總機）,https://www.iyp.com.tw/0226621885,Locovo.Locovo@msa.hinet.net,
津川良製股份有限公司,https://www.iyp.com.tw/0286916329,haijin.com@msa.hinet.net,http://www.jinchuan.com.tw
創意烘焙資源食品廠有限公司,https://www.iyp.com.tw/0424968068,dodo@dungjia.com,http://www.dungjia.com
佳豐食品廠,https://www.iyp.com.tw/033814626,laura.yiu@gmail.com,http://www.jafon.com.tw
羿方食品行,https://www.iyp.com.tw/0229983850,yffood@hotmail.com,http://www.yffood-malt.com.tw
西北食品工業股份有限公司,https://www.iyp.com.tw/0226023442-1,ysd@seebest.com.tw,http://www.seebest.com.tw
琦楊食品有限公司,https://www.iyp.com.tw/0425587566,hooo.hooo@msa.hinet.net,http://www.hooo.com.tw
冰品原料/傳統糕點/年節食品-東和食品廠,https://www.iyp.com.tw/0422786059-1,deen1230@gmail.com,https://www.iyp.com.tw/0422786059/
鮮大王(股)-家有鮮大王，清水變雞湯,https://www.iyp.com.tw/034688999-1,plussun@ms15.hinet.net,https://www.iyp.com.tw/034688999/
連吉行實業股份有限公司,https://www.iyp.com.tw/073736962,lan.zee66@gmail.com,https://www.iyp.com.tw/073739366
源泰豐食品有限公司,https://www.iyp.com.tw/0426832928,yuantai.food@msa.hinet.net,
儂祥國際農產有限公司,https://www.iyp.com.tw/047275046,star.foods@msa.hinet.net,http://www.vitavis.com.tw
中祥食品廠有限公司,https://www.iyp.com.tw/033689318,Chung.hsiang@msa.hinet.net,
東承食品有限公司,https://www.iyp.com.tw/048296775,tjt555@yahoo.com.tw,http://www.dongcheng.com.tw/
梅花鄉食品股份有限公司,https://www.iyp.com.tw/047981858,c1244670@ms17.hinet.net,https://www.facebook.com/meihuaxiangshipin/
宏亞食品股份有限公司,https://www.iyp.com.tw/033651060,service@hunya.com.tw,
洽發企業股份有限公司,https://www.iyp.com.tw/0426224161-1,service@chiafha.com.tw,https://www.iyp.com.tw/0426224161
祥記食品行,https://www.iyp.com.tw/048322509,mun919.hu@msa.hinet.net,
黃桂梅,https://www.iyp.com.tw/047257355,helen.huangy@msa.hinet.net,
紅仕食品小吃-筒仔米糕/雪花冰 批發,https://www.iyp.com.tw/0226188799-1,order@oldflavors.url.tw,https://www.iyp.com.tw/0226188799/
良宏益企業有限公司,https://www.iyp.com.tw/033136232,qqnoodle@seed.net.tw,
雅方國際企業股份有限公司,https://www.iyp.com.tw/0492521666,yaa.fang@msa.hinet.net,http://hipage.hinet.net/yaafang
台隆工業股份有限公司,https://www.iyp.com.tw/0225032277-1,service@hands.com.tw,http://www.hands.com.tw
慕青企業社,https://www.iyp.com.tw/0422920203,bubu_1021@yahoo.com.tw,
裕華宏食品宅配團購,https://www.iyp.com.tw/078216733,lin0982831655@gmail.com,http://www.luckymamafood.com/
晟隆貿易股份有限公司,https://www.iyp.com.tw/0227411778,senglong@cm1.ethome.net.tw,
泉發蜂蜜行有限公司,https://www.iyp.com.tw/0225850979,service@cfhoney.com.tw,http://www.cfhoney.com
洽發企業股份有限公司,https://www.iyp.com.tw/0426224161-3,myton.hung@msa.hinet.net,https://www.iyp.com.tw/0426224161
聯華食品工業股份有限公司,https://www.iyp.com.tw/0225521666,zoe@lianhwa.com.tw,
裕元興業股份有限公司,https://www.iyp.com.tw/0225066937,webadin@lynnbros.cm.tw,
桂榮食品有限公司,https://www.iyp.com.tw/0423176766,kk1219cool@gmail.com,
老如意手工水餃,https://www.iyp.com.tw/039885099-2,dumpling241@gmail.com,
捷美利國際企業有限公司,https://www.iyp.com.tw/033250011-2,five.line@msa.hinet.net,
