NAME,URL,EMAIL,WEBSITE
科麥股份有限公司,https://www.iyp.com.tw/0226954158,design@bakerskingdom.com,http://bakerskingdom.com
昭安蔘藥行,https://www.iyp.com.tw/067231225,uaftnb@gmail.com,http://www.chinese-medicine-store.com.tw
博成香料原料行,https://www.iyp.com.tw/062258618,hfs1115@yahoo.com.tw,http://www.por-sheng.com.tw
一陸實業股份有限公司,https://www.iyp.com.tw/087815457,wenminhie@gmail.com,http://www.yi-lu-bread-crumbs.com
宏泰餐飲設備有限公司,https://www.iyp.com.tw/0222421396,Wanjiafu1313@gmail.com,http://www.ht141.com
庚榮有限公司,https://www.iyp.com.tw/077511381-2,fue.food@gmail.com,http://www.gengrong.com.tw
明耀化工興業股份有限公司,https://www.iyp.com.tw/035243175,Jackchen715@hotmail.com,http://www.mychemical-tw.com
竹琦食品,https://www.iyp.com.tw/035532500,hsinchu03@yahoo.com.tw,http://www.hsinchu03.com.tw
Eudragit 藥用賦型劑-匡翊企業有限公司,https://www.iyp.com.tw/0227017676,domestic@kuangyieh.com.tw,http://www.kuangyieh.com.tw
晟喜國際有限公司,https://www.iyp.com.tw/077338338,yan09170515@gmail.com,http://www.chengxi-food.com
四海食品原料有限公司,https://www.iyp.com.tw/087622000,ty349@yahoo.com.tw,http://tw.myblog.yahoo.com/hiseafood-168
茂榮食品原料行（潘開淨）,https://www.iyp.com.tw/087807583,zz175834@cht.com.tw,
優米企業股份有限公司,https://www.iyp.com.tw/0222902256,ipure.ume@msa.hinet.net,http://www.umewine.com.tw
台灣阿拉伯膠有限公司,https://www.iyp.com.tw/0222488436-2,longyear@ms1.seeder.net,http://www.gumarabic.com.tw
後壁冰糖醬鴨有限公司,https://www.iyp.com.tw/066872078,service@houbi.com.tw,http://www.houbi.com.tw
易展企業有限公司,https://www.iyp.com.tw/062738336,a062738377@gmail.com,http://www.yi-chan.com.tw
恩慧企業有限公司,https://www.iyp.com.tw/0222671248,cocoa@indosat.net.id,
香溢食品有限公司,https://www.iyp.com.tw/033231965-1,virginia16562173@yahoo.com.tw,http://virginia66.myweb.hinet.net/
永誠香料廠股份有限公司,https://www.iyp.com.tw/0227091650-2,foodasia@ms2.hinet.net,http://www.yungcheng.com
茂豐香料有限公司,https://www.iyp.com.tw/048791595,c58005146@yahoo.com.tw,http://blog.xuite.net/c58005146/twblog/expert-view/138196854
益明有限公司,https://www.iyp.com.tw/077761066,hs1066@ms5.hinet.net,
番紅花天堂,https://www.iyp.com.tw/062307472,info@saffronparadise.com,http://saffronparadise.com
