NAME,URL,EMAIL,WEBSITE
海瑞摃丸 Hai Rei Foods,https://www.iyp.com.tw/035261115,hrservice@yahoo.com.tw,http://www.haireishop.com.tw/
香格禮坊-台中名產、台中伴手禮,https://www.iyp.com.tw/0422056608,sjliu@chyp.com.tw,https://shianger.com.tw/
鄭玉珍餅舖 鹿港餅店 百年老店,https://www.iyp.com.tw/047753532,jyj22491396@yahoo.com.tw,http://www.jyj.com.tw
元山水產,https://www.iyp.com.tw/053731000,mm819819@yahoo.com.tw,http://www.wonsan.com.tw
英立興業股份有限公司,https://www.iyp.com.tw/073530486,inlir.amywoo@msa.hinet.net,http://www.inlir.com.tw
永漢水果商店/金門水果禮盒 金門水果行,https://www.iyp.com.tw/082322152,kaws326210@gmail.com,http://www.iyp.com.tw/082322152
"萬果有限公司 C.H.SWEET CO., LTD",https://www.iyp.com.tw/0229388859,candyhos@ms68.hinet.net,http://www.sweetsselection.com.tw
老成珍肉包,https://www.iyp.com.tw/047747586-1,hcchen@chyp.com.tw,http://www.047747586.com
 ,https://www.iyp.com.tw/0229762008,wintea.h630605@yahoo.com.tw,http://www.wintea.com.tw
鬍鬚伯食品 金門特產|麵線|豆腐乳|醬料,https://www.iyp.com.tw/082311651,nono719738@gmail.com,http://www.km719738.com/front/bin/home.phtml
御田食品有限公司,https://www.iyp.com.tw/087528419,tsungche0303@yahoo.com.tw,http://www.u-tian.com.tw
金門電器 | 友誠電器 | 友誠購物,https://www.iyp.com.tw/082325141,bernardyochen@gmail.com,http://www.yochen.com.tw
新丸天休閒食品,https://www.iyp.com.tw/073382371,jdcolor2003@gmail.com,http://www.good-seeds.com
"彰化肉乾,海苔肉鬆,百珍香肉脯店",https://www.iyp.com.tw/047241176,bid525@gmail.com,http://www.xn--mdy70dm93c.tw
"將果麝香風味咖啡,健美科技有限公司",https://www.iyp.com.tw/0485391060,yushuche@ms49.hinet.net,http://www.biohb.com.tw
方愫馨草屯手工麻糬(老店),https://www.iyp.com.tw/0492391703,fangsuxi8888@gmail.com,http://www.方愫馨草屯麻糬.tw
味一食品有限公司 WEI-I FOODSTUFF ,https://www.iyp.com.tw/075510770,weii@hibox.hinet.net,http://www.wei-i.com.tw
名記食品企業有限公司,https://www.iyp.com.tw/082322930,s39831024@gmail.com,http://minjih.com
金門江南特產金酒專賣店,https://www.iyp.com.tw/082332127,kinmengn@gmail.com,http://www.kmgn.com.tw
日香食品行,https://www.iyp.com.tw/0492642540-1,jihhsiang888@gmail.com,http://www.0492642540.com.tw
美津食品行,https://www.iyp.com.tw/087761573,a7761573@gmail.com,http://www.tsuichi.com.tw
光正堂(麻糬喜餅專賣店),https://www.iyp.com.tw/052910139,11034f@gmail.com,http://www.mochi-cake.com.tw
嘉南良田,https://www.iyp.com.tw/052698701,Can.flower@msa.hinet.net,http://www.iplantfarm.com
萬丹市場紅豆餅(陳),https://www.iyp.com.tw/087771685,ok7761510@yahoo.com.tw,http://www.redbeancake.com.tw
阿慧芒果,https://www.iyp.com.tw/065741337,m48a5bbb@gmail.com,http://www.a-hui-mango.com
