NAME,URL,EMAIL,WEBSITE
妮子義式廚房,https://www.iyp.com.tw/035182788,pingchieh@ms94.url.com.tw,http://hipage.hinet.net/sea_food
薄多義Bite2Eat,https://www.iyp.com.tw/075575572,info@bite2eatpizza.com,http://www.bite2eatpizza.com
大泓海國際開發有限公司,https://www.iyp.com.tw/0226016050,charleshg588@gmail.com,http://www.triplet.com.tw
Kingbo 小火鍋義大利麵,https://www.iyp.com.tw/073414899,flora0916@gmail.com,
麥多小義大利館,https://www.iyp.com.tw/062280378,cafestar421@yahoo.com.tw,
BAMBINO,https://www.iyp.com.tw/072157470,isbambino@yahoo.com.tw,
PRONTO PASTA CAFE 波拉諾義麵咖啡,https://www.iyp.com.tw/02294273333,yangkungck@yahoo.com.tw,
徐氏美食連鎖餐飲工作室,https://www.iyp.com.tw/0228059117,b95608029@ntu.edu.tw,
淡水NIGHT RABBIT 森林兔洋食餐廳,https://www.iyp.com.tw/0226202523,darren0303@hotmail.com,
SOWIESO,https://www.iyp.com.tw/0227113517,hung.cw@msa.hinet.net,
古意男孩時尚餐飲,https://www.iyp.com.tw/035330851,goiboy261@gmail.com,
洋香葉義式餐廳,https://www.iyp.com.tw/035590602-1,parsley5590602@yahoo.com.tw,
笛笛饌義式餐廳,https://www.iyp.com.tw/0425270178,fogfog@seed.com.tw,
百里香義式焗烤美食,https://www.iyp.com.tw/0492243980,bailishiang@hotmail.com,
法塔創意料理餐廳,https://www.iyp.com.tw/073490022,xlargare@hotmail.com,http://www.iyp.com.tw/073490022/
羅義歐企業社,https://www.iyp.com.tw/072856658,s0989920358@yahoo.com.tw,
靜思軒平價複合義式系列鍋燒系列簡餐紫微館,https://www.iyp.com.tw/076935904,pm082354@yahoo.com.tw,
牧羊小站-中西式韓式美食,https://www.iyp.com.tw/0492421561-1,a0916906807@gmail.com,https://www.iyp.com.tw/0492421561/
NU PASTA 新竹關新店,https://www.iyp.com.tw/036686388,lee188588@gmail.com,http://https://www.facebook.com/NuPasta720
Darci's Italian Kitchen維客,https://www.iyp.com.tw/0225450609,darcisitalin@gmail.com,http://https://www.facebook.com/darcisitaliankitchen/?ref=page_internal
bistro88義法餐酒館,https://www.iyp.com.tw/063000616,bistro88tainan@bistro88.com.tw,http://www.bistro88.com.tw/
蝸牛義大利餐廳 敦化店,https://www.iyp.com.tw/0227093536,snail.italy2@msa.hinet.net,http://www.snail-italy.com
Pizzeria Oggi,https://www.iyp.com.tw/0228343965,pizzeriaoggi.01@lhic.com.tw,http://www.pizzeria-oggi.com
Pizzeria Oggi,https://www.iyp.com.tw/0227063258,pizzeriaoggi.03@lhic.com.tw,http://www.pizzeria-oggi.com
とら 雙享鬆餅 義麵屋,https://www.iyp.com.tw/0286874005,tora86874005@gmail.com,https://www.facebook.com/tora86874005/
