NAME,URL,EMAIL,WEBSITE
金泉冰品中心-冰塊、冰磚、砂冰、鑽石冰、衛生冰塊、,https://www.iyp.com.tw/034528106,dryice.idea100@gmail.com,http://haolikemall.com/store/dryice/
三冠王芋冰城,https://www.iyp.com.tw/076751316,diamind@ms9.hinet.net,
小紅帽義式冰淇淋,https://www.iyp.com.tw/052354813,rdh052354813@gmail.com,http://https://www.facebook.com/TRHGELATO
泰涼冰伎,https://www.iyp.com.tw/076812186,s064068@cht.com.tw,
統帥芋冰城,https://www.iyp.com.tw/076751256,met.jung@msa.hinet.net,
冰火同緣飲食店,https://www.iyp.com.tw/033625000,vicky6689v@yahoo.com.tw,http://高雄大碗公-桃鶯店 ！霸味薑母鴨-桃鶯店
新涼涼冰果室（太陽牌）,https://www.iyp.com.tw/062259375,sun.ice@msa.hinet.net,http://sunice.myweb.hinet.net
古早味黑砂糖挫冰店,https://www.iyp.com.tw/048887177,a8873765@ms47.hinet.net,http://hipage.hinet.net/古早味
台灣貝氏堡股份有限公司,https://www.iyp.com.tw/0227766799,jeffrey@pillsbury.com.tw,
仙人掌ㄓ家,https://www.iyp.com.tw/0423209588-1,max.max565@msa.hinet.net,
魚人島故事冰,https://www.iyp.com.tw/069272000,leica.tenpo@msa.hinet.net,
幸發亭蜜豆冰(北平店),https://www.iyp.com.tw/0422935339,ysamy1214@gmail.com,
政江號,https://www.iyp.com.tw/0223952109,ckh23952109@gmail.com,http://0223952109.tw.tranews.com/
