NAME,URL,EMAIL,WEBSITE
宇鄉企業股份有限公司,https://www.iyp.com.tw/087231127,wjob0725@gmail.com,
七個七炙燒牛排,https://www.iyp.com.tw/087235100,cmuf897@gmail.com,http://www.seven-steak.com.tw
the Diner樂子美式餐廳(南港店),https://www.iyp.com.tw/0227883330,amy.du155@gmail.com,http://www.thediner.com.tw/
黑熊愛跳舞,https://www.iyp.com.tw/0287328980,mbldkitchen@gmail.com,
藍爵美式漢堡,https://www.iyp.com.tw/0422026466,poi8502@yahoo.com.tw,http://https://www.facebook.com/bluejazzburger
波夏商務住宿餐廳,https://www.iyp.com.tw/062990122,saniahong1117@yahoo.com.tw,
Malibu west,https://www.iyp.com.tw/0225996039,malibuwest@taipeipubs.com,
The Puck Diner&Sport Bar帕,https://www.iyp.com.tw/0227392229,thepuck29@hotmail.com,
岠芯餐廳,https://www.iyp.com.tw/0287800892,kim@tavern.com.tw,
銅猴子餐廳,https://www.iyp.com.tw/0225475050,hanny@brassmonkeytaipei.com,
GB 鮮釀餐廳 台北信義店,https://www.iyp.com.tw/0287867288,info@gordonbiersch.com.tw,http://www.gordonbiersch.com.tw
GB 鮮釀餐廳 台中新光店,https://www.iyp.com.tw/0422595488,info@gotdonbiersch.com.tw,http://www.gordonbiersch.com.tw
Juicy Bun Burger,https://www.iyp.com.tw/0229390780,juicybunco@gmail.com,http://www.facebook.com/juicybun/info/?tab=page_info
