NAME,URL,EMAIL,WEBSITE
清真黃牛肉麵館,https://www.iyp.com.tw/0223318203,aa31370@yahoo.com.tw,https://www.facebook.com/Yushan23318203/
西海岸活蝦之家.員林泰國蝦,https://www.iyp.com.tw/048398789,yirong628@yahoo.com.tw,http://www.facebook.com/台南西海岸活蝦之家-員林店-至善街-986802904691400
嘉義西門町宴會場-嘉義宴會餐廳,https://www.iyp.com.tw/052356883,kao0725a@yahoo.com.tw,https://catering-service-1642.business.site/
晶頂101餐廳,https://www.iyp.com.tw/072261122-1,tt.tw@msa.hinet.net,http://www.king101.tw
新紅館餐廳,https://www.iyp.com.tw/087798899,redmill88@yahoo.com.tw,http://www.newredresort.com.tw
櫻日本料理,https://www.iyp.com.tw/055330966,joycechen0211@hotmail.com,http://www.sakuraryuri.com.tw
紅館餐廳,https://www.iyp.com.tw/087217116,hg7217116@gmail.com,http://www.redresort.com.tw
車城海忠天餐廳/墾丁海中天餐廳,https://www.iyp.com.tw/088822880,kuanchiehwang1022@gmail.com,https://www.facebook.com/墾丁海中天餐廳-1407402459517576
關山便當,https://www.iyp.com.tw/0229102222,whitesutw@gmail.com,http://www.xn--wtq522abrt2t3a.tw
@福菜館,https://www.iyp.com.tw/038358887,u8349966@yahoo.com.tw,
龍鳳樓餐廳股份有限公司,https://www.iyp.com.tw/077109631,lcmnn.tw@yahoo.com.tw,
梅花莊,https://www.iyp.com.tw/052621139-2,plum-e@yahoo.com.tw,http://www.plums.idv.tw
金山樓海味餐館,https://www.iyp.com.tw/052654500,yeh.yehoom@msa.hinet.net,
紅館餐廳,https://www.iyp.com.tw/087217116-2,redmill88@yahoo.com.tw,http://www.redresort.com.tw
千代采食,https://www.iyp.com.tw/0228711087,hbentobox@gmail.com,https://www.facebook.com/hbentobox/
輝記食品有限公司,https://www.iyp.com.tw/0423015373,lyuanchi@ms12.hinet.net,http://www.hui-chi.com.tw
大舊餐飲有限公司,https://www.iyp.com.tw/073133077,oldnew77@hotmail.com,http://oldnew-restaurant.com
芳草古樹風味館,https://www.iyp.com.tw/038760437,fangshuh7@gmail.com,http://www.fangshuh.com.tw/
嘉慶宴席,https://www.iyp.com.tw/087212525-2,anwi8301@yahoo.com.tw,
大紅磚快炒,https://www.iyp.com.tw/035574990-1,zen20382038@yahoo.com.tw,
北海魚丸店,https://www.iyp.com.tw/075585066-1,beihai_tw@yahoo.com.tw,http://bei-hai.com.tw/
翻滾快炒,https://www.iyp.com.tw/087668088,king6287@yahoo.com.tw,
樵園風味餐館,https://www.iyp.com.tw/089385116,wu460620@yahoo.com.tw,
知點新時尚料理餐廳-台南餐廳．新化餐廳,https://www.iyp.com.tw/065900806,wki1212@yahoo.com.tw,https://www.facebook.com/jhi065900861/
阿潘廚房小吃店,https://www.iyp.com.tw/0225045159,a_pan_taiwan@yahoo.com.tw,http://www.apan.com.tw/
瓏徠小吃店,https://www.iyp.com.tw/039502008-1,q_945@yahoo.com.tw,
老店家風味小吃,https://www.iyp.com.tw/033821988,money5085@gmail.com,http://www.xn--fctv0eg38b.tw/
阿霞飯店,https://www.iyp.com.tw/062256789,ashasince1940@gmail.com,http://www.sha.com.tw
張家小館-竹東美食/麵類/小菜滷味/客家美食/客家,https://www.iyp.com.tw/035964759,a10180802@yahoo.com.tw,https://restaurant-72071.business.site/
