NAME,URL,EMAIL,WEBSITE
梅子土雞,https://www.iyp.com.tw/038321022,iris002003@gmail.com,
宇鄉企業股份有限公司,https://www.iyp.com.tw/087231127,wjob0725@gmail.com,
合豐食品行,https://www.iyp.com.tw/0423383938,hf_food@yahoo.com.tw,http://www.hend-fond.com.tw
育正肉品行,https://www.iyp.com.tw/0425203650-1,ssowbellytw@yahoo.com.tw,http://www.123a.com.tw
美津食品行,https://www.iyp.com.tw/087761573,a7761573@gmail.com,http://www.tsuichi.com.tw
安德魯紳有限公司,https://www.iyp.com.tw/087073001,t.660128@gmail.com,http://www.sausage.com.tw
臺灣豐和火雞有限公司,https://www.iyp.com.tw/067957579,turkey.wang@msa.hinet.net,http://www.turkeywang.com.tw
賣歡樂碳烤食品材料行,https://www.iyp.com.tw/055264418,mhl@mhl-bbq.com.tw,http://www.mhl-bbq.com.tw
香串串烤肉店,https://www.iyp.com.tw/055378820-2,bbq51615@yahoo.com.tw,http://www.barbeq.com.tw
烤爽實業有限公司,https://www.iyp.com.tw/077885579,k2580@bbqezgo.com.tw,http://www.bbqezgo.com.tw
阿囉哈滷味,https://www.iyp.com.tw/077773585,kaven90107210@yahoo.com.tw,
鴨董食品行,https://www.iyp.com.tw/076994534,educk2.liu@msa.hinet.net,http://www.iduck.com.tw
和美琉球香腸專賣中心,https://www.iyp.com.tw/088613592,tenyolin@yahoo.com.tw,http://hipage.hinet.net/ho-mei
陳家烤鴨復興店－陳建志,https://www.iyp.com.tw/087558084,h8736@ms41.hinet.net,
懷古老舖,https://www.iyp.com.tw/0422802417,twspirrt@yaha.com.tw,http://www.twspirrt.com
星沙齋商行,https://www.iyp.com.tw/0229129670,james.lee8661@msa.hinet.net,http://hipage.hinet.net/星沙
香串串烤肉用品商店,https://www.iyp.com.tw/069279263,phnet@phnet.com.tw,http://www.phnet.com.tw/
鴨董香燻味,https://www.iyp.com.tw/076994534,educk2.liu@msa.hinet.net,http://www.iduck.com.tw
德惠珍味雞,https://www.iyp.com.tw/0225978497,alvin_1245@yahoo.com.tw,
昭和園曰式燒肉杭州店,https://www.iyp.com.tw/0223932933,fjf.rong@msa.hinet.net,
狀元牌香腸老店,https://www.iyp.com.tw/047224191,service@topsausage.tw,http://www.topsausage.com.tw/
狀元牌香腸老店,https://www.iyp.com.tw/047224191,service@topsausage.tw,http://www.topsausage.com.tw/
女人宅經濟網路商城,https://www.iyp.com.tw/075225997-1,Yun391399@ymail.com,
宗嘉檜木spa香腸,https://www.iyp.com.tw/038227700-1,a038227700@gmail.com,http://twhss.weebly.com
