NAME,URL,EMAIL,WEBSITE
金泉冰品中心-冰塊、冰磚、砂冰、鑽石冰、衛生冰塊、,https://www.iyp.com.tw/034528106,dryice.idea100@gmail.com,http://haolikemall.com/store/dryice/
新麗香飲料材料商號,https://www.iyp.com.tw/063361134,dennis.a888@msa.hinet.net,http://www.sinleshan.com.tw
賣創意自動販賣機,https://www.iyp.com.tw/047388847,hanbaikiidea@gmail.com,http://www.hanbaikiidea.com.tw/
"彰化飲料經銷商,獲利企業有限公司",https://www.iyp.com.tw/047237124,cmc611102@yahoo.com.tw,http://www.profit.tw
 ,https://www.iyp.com.tw/0229762008,wintea.h630605@yahoo.com.tw,http://www.wintea.com.tw
利玥企業社-專營生活日用品百貨批發,https://www.iyp.com.tw/0424227285,atta.ctc@msa.hinet.net,https://wholesaler-4916.business.site/?m=true
合豐食品行,https://www.iyp.com.tw/0423383938,hf_food@yahoo.com.tw,http://www.hend-fond.com.tw
"將果麝香風味咖啡,健美科技有限公司",https://www.iyp.com.tw/0485391060,yushuche@ms49.hinet.net,http://www.biohb.com.tw
樺總企業有限公司,https://www.iyp.com.tw/078152928,huada1981@gmail.com,http://www.huadatea.com.tw
世界最美的茶館-乙盛茗茶,https://www.iyp.com.tw/088685868,ertokm@gmail.com,http://www.acetea.com.tw
山上之水,https://www.iyp.com.tw/038266699,mtwater.tw@gmail.com,http://www.mtwater.tw
"Bubble tea, Pearl milk te",https://www.iyp.com.tw/047567396-1,auq607@gmail.com,http://www.yuzhanbubbletea.com
烘之豆專業咖啡店(品蕎專業咖啡店),https://www.iyp.com.tw/0922357676,angel1688@yahoo.com.tw,http://www.roast-beans2003.com
現代茶業-阿里山茶|高山茶|烏龍茶,https://www.iyp.com.tw/052303559,e0933681351@yahoo.com.tw,https://www.facebook.com/tw052303559
"PP,鐡罐,易開罐,寶特瓶飲料代工生產,舜大食品企",https://www.iyp.com.tw/048747912,shuennta@yahoo.com.tw,http://www.shuennta.com
