NAME,URL,EMAIL,WEBSITE
九斤二日式無煙燒肉 台北餐廳/台北燒肉餐廳,https://www.iyp.com.tw/0227534591,s972.s972@gmail.com,http://www.facebook.com/972ya
天秀山莊,https://www.iyp.com.tw/055901978,a5907978@gmail.com,http://www.tian-xiu.com.tw
櫻日本料理,https://www.iyp.com.tw/055330966,joycechen0211@hotmail.com,http://www.sakuraryuri.com.tw
頭前園餐廳,https://www.iyp.com.tw/076366688,tw6366688@yahoo.com.tw,http://www.tcyr.com.tw
水映自在會館,https://www.iyp.com.tw/088753330,wrae.hotel@gmail.com,http://www.wrae-hotel.com
大團園休閒農園,https://www.iyp.com.tw/0226625328,leegarden89@yahoo.com.tw,http://www.leegarden.com.tw
聽濤園山莊,https://www.iyp.com.tw/0492755677,tingtau@tingtau.com.tw,http://www.tingtau.com.tw/
千樺花園餐廳,https://www.iyp.com.tw/0425826547,info@chgarden.com.tw,http://www.chgarden.com.tw
LOVE芙花園餐廳、手工婚紗攝影工作室,https://www.iyp.com.tw/052765399,shih@propc.com.tw,http://www.loveforever.com.tw/
千樺庭園咖啡,https://www.iyp.com.tw/0425821141,info@chgarden.com.tw,https://www.facebook.com/千樺花園餐廳-133404500025543
五隆園咖啡,https://www.iyp.com.tw/066863597,p0938751695@yahoo.com.tw,
知點新時尚料理餐廳-台南餐廳．新化餐廳,https://www.iyp.com.tw/065900806,wki1212@yahoo.com.tw,https://www.facebook.com/jhi065900861/
阿里曼人文咖啡館,https://www.iyp.com.tw/0492512327,aleman0492510081@gmail.com,http://www.xn--vovx66gv1c.tw
愛嬌姨風味茶餐,https://www.iyp.com.tw/089550678,b0635@ms23.hinet.net,https://www.facebook.com/ije291
