NAME,URL,EMAIL,WEBSITE
南澤有限公司,https://www.iyp.com.tw/048818089,nantzer@hotmail.com,
大統茶業有限公司,https://www.iyp.com.tw/053794799,datong370@yahoo.com,http://www.number-two.com.tw
鬍鬚伯食品 金門特產|麵線|豆腐乳|醬料,https://www.iyp.com.tw/082311651,nono719738@gmail.com,http://www.km719738.com/front/bin/home.phtml
仙山茶莊 苗栗高山茶/比賽茶/東方美人茶,https://www.iyp.com.tw/037931200,a931200@gmail.com,http://www.facebook.com/931200.com.tw
御田食品有限公司,https://www.iyp.com.tw/087528419,tsungche0303@yahoo.com.tw,http://www.u-tian.com.tw
展傳機械廠,https://www.iyp.com.tw/037663551,chan.ch168@msa.hinet.net,http://www.chanchuan.com
烘之豆專業咖啡店(品蕎專業咖啡店),https://www.iyp.com.tw/0922357676,angel1688@yahoo.com.tw,http://www.roast-beans2003.com
政新蜂蜜實業有限公司,https://www.iyp.com.tw/076418867,a6418867@yahoo.com.tw,http://www.6418867.com.tw
"PP,鐡罐,易開罐,寶特瓶飲料代工生產,舜大食品企",https://www.iyp.com.tw/048747912,shuennta@yahoo.com.tw,http://www.shuennta.com
社頭泉昌醬油工廠,https://www.iyp.com.tw/048739218,minalai1009@gmail.com,http://www.spring-soy.com.tw/
龍淳茗茶,https://www.iyp.com.tw/073702271,kc2009888@gmail.com,
